serial,year,asecwt,nchild,ftotval
674,2022,1621.73,0,62007
678,2022,1478.39,0,42027
680,2022,1833.53,0,26755
681,2022,1960.58,0,94551
685,2022,1335.19,0,266807
686,2022,963.05,2,259637
687,2022,1148.78,0,84703
692,2022,941.81,0,42085
699,2022,895.39,2,42500
705,2022,1408.66,0,25000
710,2022,1549.91,0,9132
711,2022,2120.62,0,170034
712,2022,1473.32,0,79340
713,2022,1673.32,0,317152
714,2022,1710.95,0,31991
715,2022,1621.73,0,93963
716,2022,1783.01,1,93780
717,2022,1278.02,0,301486
722,2022,1945.09,0,87137
726,2022,629.12,0,36435
728,2022,1783.01,0,21062
729,2022,690.52,1,53377
731,2022,1349.54,0,100045
732,2022,1474.29,0,10001
735,2022,812.25,1,52302
738,2022,2926.31,0,30000
739,2022,1483.97,0,202360
740,2022,898.56,2,136863
741,2022,1309.42,0,72992
742,2022,1682.98,0,112270
743,2022,1417.5,1,100015
744,2022,1830.93,0,136845
745,2022,1320.39,1,141004
747,2022,1309.42,0,42659
748,2022,1511.47,0,93257
749,2022,1682.36,0,197003
750,2022,1621.73,0,85302
751,2022,927.77,2,58000
752,2022,753.91,3,502502
753,2022,1412.57,1,60942
754,2022,1678.32,1,174511
755,2022,927.77,2,176221
756,2022,1338.9,0,121940
757,2022,803.65,1,32118
758,2022,1022.88,0,48501
760,2022,948.3,2,252528
762,2022,1474.29,0,52689
763,2022,1805.72,0,65028
764,2022,803.65,0,3600
765,2022,1830.93,0,62000
766,2022,1633.09,0,52610
767,2022,1305.79,1,74600
769,2022,1381.65,0,304487
774,2022,803.65,2,172788
775,2022,2332.34,0,53200
776,2022,2051.88,0,24001
777,2022,932.61,2,43509
778,2022,927.77,1,96000
779,2022,2114.75,0,97101
780,2022,1522.96,0,50303
781,2022,894.77,2,19712
782,2022,1825.86,1,91709
793,2022,806.12,3,122851
794,2022,2188.83,0,89097
795,2022,2498.55,0,25000
808,2022,1542.24,0,24000
822,2022,972.52,2,88400
823,2022,1108.19,2,248009
824,2022,898.33,3,128000
825,2022,1411.39,5,265782
828,2022,1091.3,2,35000
829,2022,1213.96,2,115540
830,2022,1100.76,2,174512
832,2022,867.23,1,157083
833,2022,965.8,2,497000
834,2022,1103.7,2,60310
835,2022,1118.07,1,16206
836,2022,1001.49,0,61744
837,2022,1524.54,0,1711
838,2022,987.83,1,60002
839,2022,782.37,1,8000
840,2022,1103.92,4,125020
841,2022,750.91,2,23000
842,2022,946.56,0,157927
845,2022,905.33,0,43560
846,2022,994.54,0,315852
855,2022,878.68,0,87848
858,2022,820.4,0,43065
859,2022,894.38,0,18597
860,2022,512.57,2,156525
863,2022,887.86,0,32886
870,2022,1026.17,1,88335
871,2022,968.06,1,340420
872,2022,924.45,0,204555
874,2022,894.38,0,230064
875,2022,793.89,0,14688
878,2022,899.85,0,39031
880,2022,1059.73,0,350800
881,2022,887.86,0,56143
882,2022,904.1,0,139677
887,2022,562.86,2,116620
888,2022,820.4,0,59454
889,2022,1119.71,0,675000
890,2022,894.38,0,109334
891,2022,575.73,1,117003
892,2022,894.38,0,121637
893,2022,557.53,1,37000
894,2022,795.38,0,24614
895,2022,973.33,0,17439
899,2022,901.88,1,154103
901,2022,909.81,3,207312
902,2022,905.8,4,62532
903,2022,527.07,1,132805
917,2022,752.01,2,81781
918,2022,841.89,0,17041
920,2022,842.47,0,76053
921,2022,823.63,0,18683
922,2022,468.63,3,25000
923,2022,820.4,0,18302
924,2022,582.18,2,160601
925,2022,811.47,0,13986
926,2022,841.89,0,15456
927,2022,973.33,1,153483
928,2022,1306.89,2,0
929,2022,1269.59,0,10937
930,2022,915.36,0,1000
932,2022,492.9,1,79022
933,2022,894.38,0,59454
939,2022,480.82,2,187050
940,2022,513.81,2,419006
943,2022,1085.42,0,60001
944,2022,514.66,1,25001
945,2022,894.45,0,50532
946,2022,1039.96,0,47869
947,2022,664.42,2,71750
950,2022,922.72,0,32419
954,2022,795.38,0,37664
955,2022,793.89,0,22130
956,2022,883.21,1,161772
957,2022,966.25,0,28441
958,2022,566.25,2,41808
959,2022,843.48,0,29276
960,2022,837.35,2,147502
963,2022,986.21,1,105201
964,2022,685.59,2,91919
969,2022,852.35,0,108000
972,2022,515.2,3,29120
974,2022,1108.35,0,140027
977,2022,1061.73,0,171530
979,2022,980.25,0,169137
980,2022,892.77,0,28762
981,2022,1079.5,1,34582
984,2022,843.48,0,46982
985,2022,595.5,0,2194
987,2022,595.25,1,51576
989,2022,1215,0,181620
990,2022,936.44,0,81976
991,2022,1037.03,2,158020
992,2022,899.85,0,15000
993,2022,581.09,3,60903
994,2022,596.62,0,141040
995,2022,584.76,2,55535
997,2022,564.43,1,147032
998,2022,565.49,1,66982
999,2022,828.66,0,16940
1000,2022,1052.48,0,10000
1001,2022,490.12,1,19761
1002,2022,1087.46,0,75002
1003,2022,986.21,0,312000
1018,2022,808.4,2,158303
1019,2022,697.33,3,148017
1021,2022,906.91,1,32000
1022,2022,867.46,3,210000
1023,2022,1070.71,2,204000
1024,2022,477.33,2,273286
1025,2022,595.41,0,481458
1026,2022,596.26,0,62000
1033,2022,850.02,0,17562
1034,2022,971.51,0,40002
1035,2022,591.52,2,165502
1036,2022,818.87,0,59454
1037,2022,903.63,0,570
1038,2022,903.63,0,27938
1039,2022,1059.73,0,12203
1040,2022,853.88,0,31815
1042,2022,902.4,0,22461
1043,2022,818.87,0,18360
1044,2022,878.68,0,163472
1045,2022,828.66,0,37867
1046,2022,507.83,1,200837
1048,2022,899.85,0,50002
1049,2022,793.89,0,60833
1050,2022,556.49,1,57101
1052,2022,1059.73,0,24039
1053,2022,1182.96,0,43688
1054,2022,961.08,0,197116
1055,2022,506.42,3,195010
1057,2022,878.68,0,74059
1066,2022,787.08,1,62206
1068,2022,1670.95,0,72004
1069,2022,956.8,0,14287
1071,2022,1060.29,0,51920
1072,2022,952.18,0,39031
1073,2022,876.71,1,131464
1074,2022,512.57,1,219301
1075,2022,878.68,0,6000
1076,2022,921.05,0,24733
1077,2022,966.25,0,85095
1078,2022,924.45,0,208462
1079,2022,905.33,0,122864
1080,2022,1073.27,0,96010
1082,2022,1212.72,0,30000
1083,2022,902.4,0,43021
1086,2022,837.35,2,602500
1087,2022,1499.55,0,58655
1088,2022,563.13,1,81415
1089,2022,896.06,0,60059
1090,2022,884.87,0,67764
1091,2022,887.86,0,51596
1093,2022,591.12,1,12000
1094,2022,922.72,0,54132
1099,2022,1040.97,2,128582
1100,2022,933.09,0,19000
1102,2022,566.25,0,11280
1103,2022,841.89,0,148170
1104,2022,841.89,0,45693
1105,2022,903.63,0,83781
1106,2022,931.34,0,60001
1107,2022,591.52,2,180002
1108,2022,818.87,0,18761
1112,2022,1080.27,0,80021
1114,2022,968.86,0,28337
1115,2022,952.18,0,140410
1116,2022,575.78,3,153000
1117,2022,750.6,1,178615
1118,2022,840.89,0,111540
1119,2022,795.38,0,16800
1121,2022,591.12,2,209000
1125,2022,1077.48,0,4000
1127,2022,1091.58,0,127115
1128,2022,607.55,0,31118
1129,2022,963.88,0,98940
1130,2022,876.71,0,104840
1131,2022,565.49,3,335525
1132,2022,837.35,4,50212
1133,2022,663.26,1,23010
1134,2022,525.98,0,52130
1135,2022,1061.73,1,218741
1136,2022,894.38,0,36241
1137,2022,840.89,1,136670
1142,2022,840.89,1,48269
1143,2022,896.06,0,148055
1144,2022,480.82,0,24000
1148,2022,1530.73,0,20830
1149,2022,427.14,1,96627
1150,2022,884.87,0,150236
1151,2022,575.73,1,210402
1153,2022,1460.38,0,60126
1154,2022,1074.4,0,33003
1155,2022,892.85,2,112003
1167,2022,804.83,2,288245
1168,2022,836.5,2,204266
1169,2022,949.57,4,135372
1170,2022,808.4,0,30128
1172,2022,780.3,2,61430
1173,2022,853.1,0,50750
1174,2022,807.35,2,151000
1175,2022,906.91,2,42601
1176,2022,862.96,3,123525
1177,2022,660.01,1,171869
1178,2022,911.52,2,88633
1179,2022,1851.94,2,49615
1181,2022,479.98,5,86402
1182,2022,469.81,0,29502
1183,2022,782.64,1,171230
1187,2022,904.1,0,254522
1189,2022,883.21,1,112023
1192,2022,902.4,0,15829
1193,2022,966.25,0,360504
1194,2022,1061.73,0,61417
1195,2022,965.69,0,59163
1196,2022,899.85,0,138932
1197,2022,1085.64,0,49556
1198,2022,965.69,0,40600
1199,2022,953.97,1,180000
1202,2022,894.38,1,26374
1203,2022,1407.37,0,60141
1204,2022,1091.58,0,53015
1206,2022,896.06,2,115600
1207,2022,843.48,0,65742
1208,2022,875.06,0,92601
1209,2022,901.55,0,49149
1213,2022,423.41,2,128362
1214,2022,894.38,1,57917
1216,2022,892.77,0,132019
1217,2022,646.79,3,165205
1218,2022,958.59,0,41250
1219,2022,1089.54,0,231200
1220,2022,962.88,0,92000
1221,2022,443.3,0,24500
1222,2022,818.87,0,24582
1223,2022,523.26,0,137003
1224,2022,926.86,0,50000
1230,2022,852.35,0,150340
1234,2022,708.12,1,137911
1235,2022,717.01,1,49022
1236,2022,546.55,5,80000
1237,2022,841.89,0,11514
1240,2022,936.44,0,222026
1245,2022,960.59,0,16260
1246,2022,889.53,0,69138
1247,2022,887.86,0,39182
1248,2022,922.72,0,88482
1251,2022,922.72,0,103086
1252,2022,958.78,0,100360
1253,2022,1039.02,0,49568
1254,2022,562.86,3,127850
1258,2022,884.87,0,71419
1259,2022,1243.62,0,18913
1260,2022,902.4,0,88340
1261,2022,793.89,0,295039
1262,2022,894.45,0,1143900
1263,2022,952.18,0,117054
1265,2022,512.57,1,225020
1266,2022,818.87,0,67766
1269,2022,1039.96,0,17005
1272,2022,922.78,0,142608
1275,2022,904.1,0,58584
1280,2022,1674.09,0,182300
1281,2022,818.87,0,98187
1282,2022,1000.5,1,86082
1283,2022,876.71,0,15150
1285,2022,852.35,0,22641
1286,2022,887.86,0,59305
1287,2022,962.88,0,50400
1288,2022,497.32,1,5400
1289,2022,498.25,2,328473
1298,2022,801.3,2,137535
1300,2022,787.04,1,204056
1303,2022,779,2,44001
1304,2022,437.02,1,71020
1305,2022,479.98,2,132220
1306,2022,808.35,0,25375
1309,2022,852.6,2,132041
1310,2022,809.87,0,32726
1312,2022,856.2,0,26370
1314,2022,1059.93,0,32906
1315,2022,912.38,0,59011
1316,2022,686.72,1,168063
1317,2022,981.43,0,122070
1318,2022,511.8,1,10000
1319,2022,809.87,0,15024
1320,2022,843.75,0,1
1321,2022,491.64,1,103170
1327,2022,835.34,0,54020
1328,2022,808.35,0,40496
1332,2022,932.72,0,70216
1333,2022,1099.94,0,226684
1334,2022,1268.47,0,70250
1335,2022,961.43,0,472030
1336,2022,921.82,0,338475
1337,2022,564.74,2,147777
1338,2022,852.6,2,138002
1339,2022,936.16,0,114164
1341,2022,1012.65,1,227860
1344,2022,476.92,0,100416
1345,2022,1004.16,1,94018
1346,2022,594.29,2,97525
1347,2022,808.35,0,143990
1348,2022,833.77,0,28947
1349,2022,842.17,0,123620
1350,2022,941.28,0,111414
1352,2022,603.42,3,304576
1356,2022,905.73,0,102193
1359,2022,843.75,0,46956
1360,2022,1073.07,1,237000
1361,2022,875.98,1,228007
1362,2022,863.87,0,102182
1363,2022,1044.86,0,7182
1364,2022,575.48,2,185000
1365,2022,856.2,0,33009
1366,2022,808.35,0,11083
1367,2022,833.77,0,58166
1368,2022,991.06,0,18697
1369,2022,920.09,0,254696
1370,2022,904.03,0,16123
1371,2022,939.52,0,13740
1372,2022,1008.73,0,37900
1373,2022,870.34,0,19837
1374,2022,932.03,0,45030
1377,2022,1073.66,2,250070
1378,2022,827.8,0,107238
1382,2022,572.62,2,107123
1383,2022,905.73,0,49301
1384,2022,867.87,0,40712
1385,2022,808.35,0,121334
1386,2022,527.55,0,49985
1387,2022,1234.81,0,141514
1388,2022,563.68,2,274397
1389,2022,1004.16,2,366238
1391,2022,953.49,0,267000
1392,2022,1074.58,0,65000
1394,2022,478.05,2,435656
1395,2022,1519.59,0,99513
1396,2022,501.11,0,70900
1397,2022,809.87,0,49588
1398,2022,869.43,0,43758
1399,2022,1012.65,0,83240
1400,2022,1077.57,0,55225
1403,2022,1131.42,0,69425
1405,2022,916.24,2,137220
1407,2022,971.34,0,279346
1408,2022,592.78,3,57125
1412,2022,980.41,0,602604
1414,2022,486.6,2,155031
1415,2022,1006.05,0,75050
1416,2022,809.87,0,48001
1418,2022,550.39,2,135000
1419,2022,809.87,0,22615
1422,2022,1056.91,1,159016
1423,2022,573.11,1,40000
1425,2022,616.1,2,370949
1426,2022,586.22,2,119531
1427,2022,595.4,2,151440
1428,2022,1435.69,0,82130
1429,2022,1311.35,0,60000
1430,2022,427.77,0,141775
1431,2022,1056.91,1,54001
1433,2022,764.27,1,46280
1434,2022,981.43,0,156106
1435,2022,450.53,0,148212
1436,2022,1012.51,0,32000
1437,2022,507.32,3,392402
1439,2022,1204.5,0,107500
1440,2022,1044.86,0,46645
1441,2022,988.35,0,52182
1442,2022,536.56,1,36459
1443,2022,891,1,86090
1444,2022,922.69,0,88005
1445,2022,594.29,1,83135
1446,2022,976.07,1,50008
1447,2022,1094.87,0,164226
1448,2022,858.83,0,57588
1451,2022,858.83,0,24002
1452,2022,939.52,1,54827
1453,2022,939.52,0,33085
1454,2022,851,1,161305
1455,2022,816.72,0,52023
1457,2022,603.42,2,85015
1458,2022,1129.3,0,75000
1459,2022,1234.81,0,19296
1460,2022,519.54,2,226966
1461,2022,920.09,0,102168
1462,2022,567.69,3,245302
1464,2022,586.22,2,162350
1467,2022,594.72,3,256551
1468,2022,894.68,0,25480
1472,2022,917.15,0,146000
1478,2022,601.88,1,158161
1479,2022,567.69,2,173203
1483,2022,1111.46,0,79550
1486,2022,1128.53,0,1000
1489,2022,438.36,1,127050
1490,2022,591.67,2,195355
1494,2022,980.41,0,25000
1495,2022,920.56,0,344763
1497,2022,808.35,0,28450
1500,2022,826.25,0,10182
1502,2022,560.83,0,153394
1503,2022,683.65,0,38205
1504,2022,619.19,2,179365
1505,2022,530.31,2,210036
1506,2022,575.75,5,188794
1507,2022,926.21,2,141964
1508,2022,709.21,0,104044
1509,2022,649.22,2,129259
1512,2022,778.83,1,152050
1513,2022,1025.05,1,28346
1514,2022,709.1,3,170525
1515,2022,664.74,1,105458
1516,2022,580.59,1,74692
1517,2022,700.71,2,298800
1518,2022,1019.12,1,150920
1519,2022,711.69,3,83021
1521,2022,678.56,2,301870
1524,2022,695.59,0,101004
1525,2022,700.76,3,96003
1526,2022,701.48,0,55325
1527,2022,677.27,1,33629
1528,2022,624.05,3,162019
1530,2022,721.43,1,192991
1531,2022,616.68,1,47000
1532,2022,417.56,2,111507
1533,2022,581.01,2,165862
1534,2022,516.65,1,2448
1535,2022,524.34,2,1014015
1536,2022,606.69,2,170248
1537,2022,634.06,2,62000
1538,2022,939.52,0,26293
1542,2022,858.83,0,148217
1543,2022,1075.09,1,112737
1544,2022,858.83,0,18728
1545,2022,611.28,1,137829
1546,2022,542.3,1,150026
1547,2022,941.28,0,42542
1548,2022,1504.18,0,52401
1549,2022,917.15,0,69014
1550,2022,699.38,2,139510
1551,2022,961.43,0,145040
1552,2022,932.72,0,22982
1553,2022,999.97,0,69674
1554,2022,904.03,0,19784
1556,2022,698.07,3,146500
1561,2022,574.19,1,207502
1564,2022,851,1,28005
1565,2022,842.17,0,21620
1566,2022,951.23,0,191074
1567,2022,1079.03,2,289845
1571,2022,827.8,0,30012
1572,2022,917.15,0,96442
1573,2022,585.12,1,262824
1574,2022,800.72,1,185013
1575,2022,1016.81,0,202295
1576,2022,1266.27,0,68570
1577,2022,676.52,2,14120
1579,2022,1074.58,0,275362
1582,2022,590.54,0,59942
1583,2022,905.73,0,36740
1584,2022,976.05,0,95200
1587,2022,521.64,0,24000
1588,2022,1056.91,0,60510
1589,2022,1333.19,1,102006
1590,2022,937.82,0,138023
1591,2022,920.09,0,108945
1592,2022,570.35,3,117320
1593,2022,1143.94,0,53110
1594,2022,1188.47,0,71001
1595,2022,857.81,0,236909
1596,2022,593.94,0,84695
1597,2022,794.54,2,6000
1598,2022,983.84,0,108189
1599,2022,980.41,0,85300
1600,2022,916.24,0,48555
1602,2022,916.24,0,77145
1604,2022,977.91,0,41000
1606,2022,910.67,0,180030
1607,2022,1595.63,0,35000
1608,2022,1108.17,1,156100
1618,2022,1074.58,0,104868
1619,2022,1016.81,2,238351
1620,2022,921.82,0,90000
1622,2022,601.88,2,119408
1623,2022,1099.16,0,61169
1626,2022,642.05,1,600
1627,2022,632.5,1,55628
1628,2022,636.77,1,93750
1629,2022,689.6,2,135524
1631,2022,732.52,1,283459
1632,2022,620.13,1,49401
1634,2022,1157.65,2,12120
1635,2022,578,1,107405
1636,2022,732.28,2,32810
1637,2022,612.76,2,61420
1638,2022,679.03,0,37664
1639,2022,529.64,2,120100
1640,2022,872.61,1,8500
1642,2022,978.57,0,223035
1643,2022,1234.81,0,51001
1644,2022,1701.38,1,131552
1646,2022,971.34,0,53057
1647,2022,835.34,0,53514
1649,2022,810.56,0,87380
1650,2022,1052.3,0,82925
1651,2022,789.33,0,75405
1652,2022,607.14,3,314365
1653,2022,835.34,0,17723
1654,2022,1001.55,0,51156
1655,2022,1048.27,0,121802
1656,2022,1039.36,0,25501
1657,2022,1124.61,0,90120
1658,2022,771.74,0,63120
1659,2022,899.3,0,150280
1661,2022,809.04,0,121388
1664,2022,929.65,0,34000
1666,2022,971.34,2,72002
1667,2022,445.52,1,50682
1668,2022,409.7,1,159607
1669,2022,926.41,0,97098
1671,2022,926.41,0,45001
1672,2022,881.35,0,55788
1673,2022,1194.34,0,131291
1674,2022,929.65,0,108974
1675,2022,1221.51,0,50002
1676,2022,880.69,0,327600
1677,2022,1019.6,0,1
1678,2022,981.91,2,16000
1680,2022,916.12,0,177860
1681,2022,765.26,0,194220
1682,2022,851.36,0,141061
1683,2022,482.28,0,40000
1684,2022,1044.86,1,371584
1686,2022,479.62,1,300532
1687,2022,918.83,0,64320
1688,2022,978.57,0,130351
1690,2022,918.83,0,46469
1691,2022,603.42,2,167879
1692,2022,851.36,0,364250
1695,2022,927.37,0,50414
1698,2022,916.12,0,117288
1700,2022,905.73,0,153358
1701,2022,1001.55,0,61657
1702,2022,1108.74,0,150012
1703,2022,920.09,1,63769
1704,2022,698.07,1,19450
