group2,group3,totbal,newtotbal,balchange
treatment,treatment,443.5,1461.55,1018.0499877929688
control,marketing,519.21,103.95,-415.260009765625
treatment,treatment,915.83,635.83,-280
treatment,treatment,212.4,338.42,126.0199966430664
treatment,treatment,1542.65,591.67,-950.97998046875
control,marketing,104.62,7.73,-96.88999938964844
treatment,treatment,443.59,100,-343.5899963378906
control,marketing,105.81,0,-105.80999755859375
control,marketing,1401.18,1411.85,10.670000076293945
control,marketing,450.97,0,-450.9700012207031
control,control,235.95,245.56,9.609999656677246
treatment,treatment,1110.87,859.73,-251.13999938964844
control,control,117.43,0,-117.43000030517578
control,marketing,64.02,0,-64.0199966430664
treatment,treatment,711.68,740.68,29
treatment,treatment,517.82,580.29,62.470001220703125
control,control,106,270.68,164.67999267578125
treatment,treatment,546.25,398.03,-148.22000122070312
treatment,treatment,0,100,100
control,control,1253.25,127.87,-1125.3800048828125
treatment,treatment,551.04,8869.92,8318.8798828125
treatment,treatment,460.95,732.53,271.5799865722656
treatment,treatment,1.72,0,-1.7200000286102295
treatment,treatment,112.78,77.07,-35.709999084472656
treatment,treatment,107.91,0,-107.91000366210938
control,control,239.49,0,-239.49000549316406
control,control,439.02,159.02,-280
treatment,treatment,1028.61,113.37,-915.239990234375
control,marketing,554.6,252.09,-302.510009765625
treatment,treatment,2082.37,846.69,-1235.6800537109375
control,marketing,1544.99,1044.05,-500.94000244140625
treatment,treatment,512.6,935.5,422.8999938964844
control,marketing,265.37,230.74,-34.630001068115234
control,control,539.67,305.45,-234.22000122070312
control,control,2079.03,864.81,-1214.219970703125
treatment,treatment,522.95,0,-522.95001220703125
treatment,treatment,121.48,0,-121.4800033569336
treatment,treatment,140.34,100,-40.34000015258789
control,control,433.34,1053.72,620.3800048828125
treatment,treatment,2078.9,864.68,-1214.219970703125
treatment,treatment,532.6,362.64,-169.9600067138672
treatment,treatment,1864.37,822.46,-1041.9100341796875
treatment,treatment,2072.36,383.03,-1689.3299560546875
control,control,865.26,858.14,-7.119999885559082
control,marketing,1650.46,1598.8,-51.65999984741211
control,control,537.75,324.99,-212.75999450683594
treatment,treatment,104.06,117.07,13.010000228881836
control,marketing,1619.37,1518.73,-100.63999938964844
treatment,treatment,360.55,297.34,-63.209999084472656
control,control,2046.97,0,-2046.969970703125
control,control,156.73,163.13,6.400000095367432
control,control,565.68,0,-565.67999267578125
treatment,treatment,108.06,112.48,4.420000076293945
treatment,treatment,518.1,639.19,121.08999633789062
control,marketing,1507.7,1106.77,-400.92999267578125
control,control,375.39,160.44,-214.9499969482422
control,marketing,371.82,91.82,-280
treatment,treatment,349.16,402.11,52.95000076293945
control,control,1480.22,1200.22,-280
treatment,treatment,1078.51,567.91,-510.6000061035156
control,marketing,104.12,47.79,-56.33000183105469
control,marketing,513.74,534.65,20.90999984741211
control,control,2082.92,825.82,-1257.0999755859375
treatment,treatment,691.93,3179.7,2487.77001953125
control,control,442.66,0,-442.6600036621094
control,control,1350.74,1070.74,-280
control,marketing,301.27,21.27,-280
treatment,treatment,113.89,120.9,7.010000228881836
control,marketing,1091.64,1016.22,-75.41999816894531
control,marketing,660.37,1395,734.6300048828125
treatment,treatment,27.36,100,72.63999938964844
treatment,treatment,149.02,173.35,24.329999923706055
control,control,102.09,106.26,4.170000076293945
treatment,treatment,1029.91,1239.46,209.5500030517578
treatment,treatment,453.95,476.55,22.600000381469727
control,marketing,531.72,361.76,-169.9600067138672
control,marketing,1070.98,2441.01,1370.030029296875
control,control,156.4,20.2,-136.1999969482422
control,marketing,121.27,0,-121.2699966430664
control,control,529.53,251.7,-277.8299865722656
treatment,treatment,163.91,209.69,45.779998779296875
treatment,treatment,1626.14,610.35,-1015.7899780273438
treatment,treatment,700.7,1868.06,1167.3599853515625
control,marketing,50,0,-50
control,marketing,1651.16,363.59,-1287.5699462890625
treatment,treatment,102.64,66.53,-36.11000061035156
control,marketing,588.7,624.95,36.25
control,control,1078.87,929.48,-149.38999938964844
control,control,111.7,15.02,-96.68000030517578
control,control,176.22,0,-176.22000122070312
control,marketing,517.88,717.56,199.67999267578125
control,control,720.47,440.47,-280
treatment,treatment,294.79,16.37,-278.4200134277344
treatment,treatment,103.12,215.4,112.27999877929688
control,control,137.94,0,-137.94000244140625
control,marketing,204.41,212.72,8.3100004196167
treatment,treatment,105.75,108.9,3.1500000953674316
treatment,treatment,479.42,475.58,-3.8399999141693115
control,marketing,212.04,97.8,-114.23999786376953
treatment,treatment,443.5,163.5,-280
treatment,treatment,69.67,0,-69.66999816894531
treatment,treatment,228.87,235.66,6.789999961853027
treatment,treatment,593.54,1058.58,465.0400085449219
control,control,351.98,71.98,-280
control,control,115.11,0,-115.11000061035156
treatment,treatment,125.77,9.16,-116.61000061035156
control,marketing,622.13,0,-622.1300048828125
control,control,414.04,52.13,-361.9100036621094
treatment,treatment,117.61,424.77,307.1600036621094
treatment,treatment,269.84,97.5,-172.33999633789062
control,marketing,133.28,4123.02,3989.739990234375
control,control,856.22,109.39,-746.83001708984375
treatment,treatment,434.2,254.2,-180
treatment,treatment,541,0,-541
control,marketing,517.95,497.63,-20.31999969482422
control,marketing,104.47,101.92,-2.549999952316284
treatment,treatment,106.78,127.25,20.469999313354492
treatment,treatment,138.03,378.5,240.47000122070312
control,control,530.08,113.6,-416.4800109863281
treatment,treatment,1423.22,1257.67,-165.5500030517578
treatment,treatment,108.13,160.91,52.779998779296875
treatment,treatment,731.25,583.11,-148.13999938964844
control,marketing,327.38,49.13,-278.25
treatment,treatment,107.42,191.78,84.36000061035156
control,marketing,1091.34,107.94,-983.4000244140625
control,marketing,444.36,164.36,-280
treatment,treatment,520.75,3599.76,3079.010009765625
control,marketing,403.32,215.06,-188.25999450683594
treatment,treatment,305.11,317.52,12.40999984741211
control,marketing,41.52,0,-41.52000045776367
control,marketing,1148.47,299.03,-849.44000244140625
control,marketing,121.09,126,4.909999847412109
control,marketing,740.13,21050.47,20310.33984375
treatment,treatment,155.29,39.5,-115.79000091552734
control,control,976.27,0,-976.27001953125
control,marketing,71.83,260.47,188.63999938964844
control,control,531.25,382.69,-148.55999755859375
control,control,100.93,105.02,4.090000152587891
treatment,treatment,311.96,31.96,-280
control,marketing,520.36,478.67,-41.689998626708984
control,control,122.41,134.98,12.569999694824219
treatment,treatment,106.94,150.7,43.7599983215332
control,marketing,507.04,0,-507.0400085449219
control,marketing,1256.82,976.82,-280
treatment,treatment,536.7,423.91,-112.79000091552734
treatment,treatment,104.22,110.63,6.409999847412109
treatment,treatment,465.54,379.36,-86.18000030517578
treatment,treatment,30.95,0,-30.950000762939453
control,control,180,191.09,11.09000015258789
control,marketing,148.71,0,-148.7100067138672
control,control,892.74,563.99,-328.75
control,control,1722.94,650.15,-1072.7900390625
treatment,treatment,119.06,126.39,7.329999923706055
treatment,treatment,250.86,0,-250.86000061035156
control,control,153.61,205.62,52.0099983215332
treatment,treatment,173.38,0,-173.3800048828125
control,marketing,1685.96,1104.24,-581.719970703125
control,marketing,229.5,183.73,-45.77000045776367
treatment,treatment,516.01,2360.88,1844.8699951171875
control,marketing,167.93,134.33,-33.599998474121094
control,control,1789.9,1509.9,-280
control,control,40.68,0,-40.68000030517578
treatment,treatment,403.51,223.51,-180
control,marketing,525.5,246.93,-278.57000732421875
treatment,treatment,112.44,0,-112.44000244140625
control,control,756.66,208.72,-547.94000244140625
control,control,2064.58,5335.42,3270.840087890625
treatment,treatment,0,0,0
treatment,treatment,310.55,240.63,-69.91999816894531
control,marketing,506.84,518.78,11.9399995803833
control,marketing,517.55,497.22,-20.329999923706055
treatment,treatment,1253.46,894.39,-359.07000732421875
treatment,treatment,541.67,285.99,-255.67999267578125
treatment,treatment,156.66,200,43.34000015258789
control,control,133.73,0,-133.72999572753906
treatment,treatment,517.95,497.63,-20.31999969482422
treatment,treatment,8.55,0,-8.550000190734863
control,marketing,194.22,0,-194.22000122070312
control,control,316.16,402.01,85.8499984741211
control,control,677.56,653.57,-23.989999771118164
treatment,treatment,358.07,1023.54,665.469970703125
control,marketing,1096.38,825.18,-271.20001220703125
treatment,treatment,488.4,208.4,-280
control,marketing,1078.38,802.72,-275.6600036621094
control,control,516.93,505.4,-11.529999732971191
control,marketing,52.61,0,-52.61000061035156
control,marketing,1917.29,1995,77.70999908447266
treatment,treatment,520.28,0,-520.280029296875
treatment,treatment,305.11,317.52,12.40999984741211
treatment,treatment,1111.04,0,-1111.0400390625
treatment,treatment,1429.85,1602.09,172.24000549316406
treatment,treatment,134.86,732.4,597.53997802734375
treatment,treatment,480.69,200.69,-280
control,marketing,259.01,132.85,-126.16000366210938
control,marketing,105.25,89.55,-15.699999809265137
control,marketing,120.48,512.35,391.8699951171875
control,marketing,3.57,0,-3.569999933242798
control,marketing,1035.72,1035.09,-0.6299999952316284
treatment,treatment,568.13,591.29,23.15999984741211
treatment,treatment,982.61,2425.86,1443.25
treatment,treatment,1115.4,1776.69,661.28997802734375
treatment,treatment,1168.5,888.5,-280
control,marketing,500.57,117.33,-383.239990234375
treatment,treatment,528.29,401.13,-127.16000366210938
control,marketing,104.46,108.71,4.25
control,control,1609.97,641.78,-968.19000244140625
control,marketing,90.52,0,-90.5199966430664
treatment,treatment,117.03,0,-117.02999877929688
treatment,treatment,100.3,133.96,33.65999984741211
control,control,47.84,0,-47.84000015258789
control,control,106.47,113.03,6.559999942779541
treatment,treatment,123.13,188.09,64.95999908447266
control,control,517.82,109.85,-407.9700012207031
treatment,treatment,226.21,239.04,12.829999923706055
treatment,treatment,209.35,217.86,8.510000228881836
control,control,106.27,0,-106.2699966430664
control,marketing,2075.51,904.12,-1171.3900146484375
treatment,treatment,414.78,208.14,-206.63999938964844
treatment,treatment,103.86,104.15,0.28999999165534973
treatment,treatment,343.63,897,553.3699951171875
control,marketing,2179.79,1974.87,-204.9199981689453
control,control,1317.48,0,-1317.47998046875
treatment,treatment,1090.7,943.76,-146.94000244140625
control,control,577.63,494.78,-82.8499984741211
control,control,209.16,0,-209.16000366210938
treatment,treatment,152.13,160.38,8.25
treatment,treatment,1033.62,1055.72,22.100000381469727
treatment,treatment,239.03,248.77,9.739999771118164
treatment,treatment,108.15,0,-108.1500015258789
control,control,907.98,627.98,-280
control,control,627.13,564.7,-62.43000030517578
treatment,treatment,2051.95,510,-1541.949951171875
treatment,treatment,1076.16,1154.34,78.18000030517578
control,marketing,186.76,0,-186.75999450683594
control,marketing,50,0,-50
control,control,150.97,0,-150.97000122070312
treatment,treatment,535.71,344.33,-191.3800048828125
treatment,treatment,1284.4,20683.95,19399.55078125
control,marketing,0,0,0
control,control,511.15,531.96,20.809999465942383
treatment,treatment,174.07,17.81,-156.25999450683594
control,control,2093.83,1073.33,-1020.5
control,marketing,509.3,244.58,-264.7200012207031
control,marketing,340.03,281.01,-59.02000045776367
control,marketing,0,0,0
treatment,treatment,0,0,0
control,control,891.48,266.99,-624.489990234375
treatment,treatment,2215.4,156.02,-2059.3798828125
treatment,treatment,102.22,0,-102.22000122070312
treatment,treatment,1065,988.47,-76.529998779296875
control,control,1085.78,808.69,-277.0899963378906
treatment,treatment,0,0,0
control,control,922.29,583.29,-339
treatment,treatment,906.98,626.98,-280
control,control,287.15,94.1,-193.0500030517578
treatment,treatment,529.67,381.07,-148.60000610351562
control,control,577.1,240.12,-336.9800109863281
treatment,treatment,102.02,4196.95,4094.929931640625
control,control,109.45,213.9,104.44999694824219
treatment,treatment,461.55,1452.52,990.969970703125
control,marketing,1079.89,1026.04,-53.849998474121094
control,marketing,205.95,1884.87,1678.9200439453125
treatment,treatment,215.18,2308.11,2092.929931640625
treatment,treatment,100.74,105.63,4.889999866485596
control,control,152.47,158.7,6.230000019073486
treatment,treatment,221.83,25.41,-196.4199981689453
control,marketing,104.16,0,-104.16000366210938
treatment,treatment,540.38,562.39,22.010000228881836
treatment,treatment,535.98,135.97,-400.010009765625
treatment,treatment,539.11,474.42,-64.69000244140625
treatment,treatment,634.78,150.99,-483.7900085449219
treatment,treatment,532.69,0,-532.69000244140625
control,control,1000.68,0,-1000.6799926757812
treatment,treatment,104.45,68.42,-36.029998779296875
control,marketing,50,0,-50
control,marketing,1003.03,723.03,-280
treatment,treatment,86.58,0,-86.58000183105469
treatment,treatment,3.82,0,-3.819999933242798
control,control,541.38,285.7,-255.67999267578125
control,control,1700,525.93,-1174.0699462890625
treatment,treatment,513.89,635.62,121.7300033569336
control,control,501.82,1598.44,1096.6199951171875
control,marketing,130.41,0,-130.41000366210938
control,marketing,822.37,542.37,-280
control,control,502.27,0,-502.2699890136719
control,control,152.02,158.21,6.190000057220459
treatment,treatment,137.3,0,-137.3000030517578
control,control,249.42,1072.05,822.6300048828125
treatment,treatment,148.58,154.63,6.050000190734863
control,marketing,513.13,2440.18,1927.050048828125
control,marketing,104.21,108.62,4.409999847412109
treatment,treatment,119.14,0,-119.13999938964844
treatment,treatment,1003.93,723.93,-280
control,control,512.77,533.65,20.8799991607666
treatment,treatment,155.62,0,-155.6199951171875
control,control,105.8,0,-105.80000305175781
control,control,576.76,4168.39,3591.6298828125
treatment,treatment,594.07,1406.66,812.59002685546875
control,marketing,117.2,121.97,4.769999980926514
control,control,1032.22,1188.75,156.52999877929688
control,control,129.03,135.76,6.730000019073486
treatment,treatment,389.56,109.56,-280
control,control,131.98,0,-131.97999572753906
control,control,870.5,592.84,-277.6600036621094
control,control,678.81,601.67,-77.13999938964844
control,control,167.17,126.54,-40.630001068115234
control,marketing,661.13,0,-661.1300048828125
treatment,treatment,1106.09,121.71,-984.3800048828125
control,marketing,512.77,533.65,20.8799991607666
control,marketing,125.02,100.42,-24.600000381469727
control,marketing,302.02,286.99,-15.029999732971191
treatment,treatment,2091.55,1136.84,-954.71002197265625
control,marketing,457.25,256.82,-200.42999267578125
treatment,treatment,522.28,459.24,-63.040000915527344
control,marketing,56.99,0,-56.9900016784668
control,marketing,1088.56,145.17,-943.3900146484375
treatment,treatment,134.61,79.35,-55.2599983215332
control,control,1150.97,143.8,-1007.1699829101562
control,control,161.73,168.64,6.909999847412109
treatment,treatment,104.11,100,-4.110000133514404
treatment,treatment,511.9,0,-511.8999938964844
treatment,treatment,182.49,49.16,-133.3300018310547
control,marketing,544.82,353.6,-191.22000122070312
control,marketing,119.23,0,-119.2300033569336
treatment,treatment,131.13,137.08,5.949999809265137
control,control,534.26,342.87,-191.38999938964844
control,marketing,1150.59,870.59,-280
treatment,treatment,543.72,870.77,327.04998779296875
control,control,514.54,2181.73,1667.18994140625
treatment,treatment,50,0,-50
treatment,treatment,1590.59,700.76,-889.83001708984375
treatment,treatment,111.62,0,-111.62000274658203
control,marketing,497.74,353.88,-143.86000061035156
control,marketing,207.36,0,-207.36000061035156
treatment,treatment,123.55,100,-23.549999237060547
control,marketing,106.13,10415.06,10308.9296875
treatment,treatment,921.79,641.79,-280
treatment,treatment,535.16,107.39,-427.7699890136719
control,control,309.48,260.39,-49.09000015258789
control,marketing,142.12,0,-142.1199951171875
treatment,treatment,206.47,117.23,-89.23999786376953
control,marketing,104.91,0,-104.91000366210938
treatment,treatment,513.04,533.94,20.899999618530273
control,control,132.4,140.54,8.140000343322754
control,control,535.98,415.59,-120.38999938964844
treatment,treatment,1524.56,177.3,-1347.260009765625
treatment,treatment,1489.51,1663.09,173.5800018310547
control,control,536.07,323.28,-212.7899932861328
treatment,treatment,210.16,193.56,-16.600000381469727
treatment,treatment,534.26,342.87,-191.38999938964844
control,marketing,1352.81,405.62,-947.19000244140625
treatment,treatment,2046.77,886.77,-1160
control,control,121.52,0,-121.5199966430664
treatment,treatment,35.58,100,64.41999816894531
control,control,243.61,0,-243.61000061035156
control,marketing,520.89,240.89,-280
treatment,treatment,143.45,1226.59,1083.1400146484375
treatment,treatment,181.2,198.22,17.020000457763672
treatment,treatment,105.75,110.06,4.309999942779541
control,marketing,102.16,523.99,421.8299865722656
treatment,treatment,518.08,0,-518.08001708984375
control,marketing,311.72,220.97,-90.75
treatment,treatment,518.57,654.35,135.77999877929688
control,control,987.22,159.13,-828.09002685546875
treatment,treatment,1992.83,2427.86,435.0299987792969
treatment,treatment,518.08,549.92,31.84000015258789
control,marketing,513.89,534.8,20.90999984741211
treatment,treatment,1099.92,2098.72,998.79998779296875
treatment,treatment,652.03,195.57,-456.4599914550781
treatment,treatment,545.04,220.52,-324.5199890136719
treatment,treatment,2103.91,334.95,-1768.9599609375
treatment,treatment,150.7,14.37,-136.3300018310547
control,marketing,413.89,133.89,-280
control,control,519.94,478.23,-41.709999084472656
control,control,679.44,424.86,-254.5800018310547
treatment,treatment,506.97,226.97,-280
control,marketing,773.47,804.97,31.5
treatment,treatment,0,218.33,218.3300018310547
treatment,treatment,0,0,0
control,marketing,72.92,0,-72.91999816894531
control,marketing,535.64,344.26,-191.3800048828125
treatment,treatment,50,0,-50
control,control,422.99,325.96,-97.029998779296875
treatment,treatment,1634.33,1699.34,65.01000213623047
control,marketing,110.03,35.41,-74.62000274658203
treatment,treatment,1108.61,1175.56,66.94999694824219
treatment,treatment,0,100,100
treatment,treatment,118.55,8729.01,8610.4599609375
treatment,treatment,106,0,-106
control,control,108.3,0,-108.30000305175781
control,control,172.27,351.54,179.27000427246094
treatment,treatment,220.7,1076.68,855.97998046875
treatment,treatment,681.1,100,-581.0999755859375
treatment,treatment,170.39,116.37,-54.02000045776367
treatment,treatment,324.75,5100.08,4775.330078125
control,marketing,229.14,238.47,9.329999923706055
control,control,52.59,12.59,-40
treatment,treatment,1017.55,1056.68,39.130001068115234
treatment,treatment,858.03,0,-858.030029296875
treatment,treatment,700.04,223.43,-476.6099853515625
control,marketing,221.39,107.39,-114
treatment,treatment,1007.99,727.99,-280
treatment,treatment,519.68,0,-519.67999267578125
control,control,462.37,182.37,-280
control,control,143.13,605.04,461.9100036621094
treatment,treatment,82.25,100,17.75
control,control,114.8,79.16,-35.63999938964844
control,marketing,8.31,1113.89,1105.5799560546875
treatment,treatment,113.91,17.29,-96.62000274658203
treatment,treatment,182.65,190.11,7.460000038146973
control,control,148.98,0,-148.97999572753906
control,control,931.41,897.04,-34.369998931884766
control,marketing,0,0,0
control,marketing,516.01,517.02,1.0099999904632568
control,marketing,104.68,111.88,7.199999809265137
treatment,treatment,511.2,0,-511.20001220703125
treatment,treatment,107.51,100,-7.510000228881836
control,control,332.74,0,-332.739990234375
control,control,507.65,528.32,20.670000076293945
control,control,522.14,459.1,-63.040000915527344
treatment,treatment,301.92,21.92,-280
control,marketing,82.72,0,-82.720001220703125
treatment,treatment,904.75,696.92,-207.8300018310547
control,marketing,1323.28,2567.26,1243.97998046875
control,marketing,119.37,0,-119.37000274658203
control,marketing,518.01,1292.89,774.8800048828125
treatment,treatment,161.9,172.39,10.489999771118164
treatment,treatment,524.05,120.55,-403.5
control,marketing,812.11,42.11,-770
control,marketing,107.94,1200.19,1092.25
control,control,0,0,0
treatment,treatment,0,100,100
treatment,treatment,526.54,76972.93,76446.390625
control,marketing,271.23,282.27,11.039999961853027
treatment,treatment,462.09,502.09,40
control,marketing,1134.57,0,-1134.5699462890625
control,marketing,126.58,131.73,5.150000095367432
treatment,treatment,733.82,105.47,-628.3499755859375
control,marketing,1126.43,1068.36,-58.06999969482422
control,control,234.3,251.63,17.329999923706055
treatment,treatment,696.9,100,-596.9000244140625
control,control,526.56,248,-278.55999755859375
control,control,109.78,101.99,-7.789999961853027
control,marketing,53.34,0,-53.34000015258789
control,control,2152.53,3706.84,1554.31005859375
control,marketing,1021.93,5999.24,4977.31005859375
control,control,244.05,253.99,9.9399995803833
control,marketing,510.2,1040.43,530.22998046875
treatment,treatment,0,0,0
treatment,treatment,343.41,163.41,-180
treatment,treatment,208.53,0,-208.52999877929688
treatment,treatment,155.54,119.32,-36.220001220703125
control,marketing,539.61,305.39,-234.22000122070312
treatment,treatment,438.52,443.01,4.489999771118164
control,marketing,578.19,601.72,23.530000686645508
treatment,treatment,543,333.98,-209.02000427246094
control,marketing,1004.04,724.04,-280
control,marketing,0,0,0
control,marketing,173.33,119.41,-53.91999816894531
control,control,224.01,52684.48,52460.46875
control,control,222.25,231.29,9.039999961853027
treatment,treatment,305.04,214.74,-90.30000305175781
control,marketing,781.29,0,-781.28997802734375
control,control,121.63,630.53,508.8999938964844
control,control,700.37,728.9,28.530000686645508
treatment,treatment,101.95,100,-1.9500000476837158
control,control,218.15,207.03,-11.119999885559082
treatment,treatment,532.39,1168.64,636.25
treatment,treatment,519.68,477.97,-41.709999084472656
control,marketing,321.84,316.58,-5.260000228881836
treatment,treatment,500,500,0
control,marketing,500,500,0
treatment,treatment,174.1,156.6,-17.5
control,marketing,500,500,0
treatment,treatment,0,0,0
treatment,treatment,1011.58,0,-1011.5800170898438
control,control,0,0,0
treatment,treatment,445.09,100512.24,100067.1484375
treatment,treatment,140.77,111.75,-29.020000457763672
control,marketing,120.53,0,-120.52999877929688
treatment,treatment,77.62,3469.29,3391.669921875
treatment,treatment,1186.22,886.22,-300
control,control,183.47,163.47,-20
control,marketing,0,0,0
control,control,0,165.05,165.0500030517578
control,control,652.77,732.77,80
treatment,treatment,500,500,0
treatment,treatment,107.04,556.08,449.0400085449219
treatment,treatment,605.17,500,-105.16999816894531
treatment,treatment,77.85,0,-77.8499984741211
control,control,308.43,0,-308.42999267578125
treatment,treatment,208.52,215.07,6.550000190734863
control,marketing,1100.59,800.59,-300
control,marketing,0,0,0
control,control,1134.62,500,-634.6199951171875
control,marketing,105.52,0,-105.5199966430664
treatment,treatment,500,0,-500
treatment,treatment,0,100,100
control,marketing,0,0,0
treatment,treatment,232.48,12.48,-220
treatment,treatment,259.37,0,-259.3699951171875
control,marketing,980.25,4114.77,3134.52001953125
control,control,1005.88,705.88,-300
treatment,treatment,614.74,114.74,-500
treatment,treatment,1349.81,609.72,-740.09002685546875
treatment,treatment,1128.51,828.51,-300
control,marketing,1017.91,500,-517.90997314453125
control,marketing,0,0,0
treatment,treatment,622.96,600,-22.959999084472656
control,marketing,122.54,0,-122.54000091552734
treatment,treatment,0,0,0
treatment,treatment,0,100,100
control,control,0,0,0
treatment,treatment,0,100,100
control,marketing,1000,186,-814
treatment,treatment,500,1903.52,1403.52001953125
treatment,treatment,500,600,100
control,marketing,0,0,0
treatment,treatment,146.78,106.78,-40
control,marketing,0,0,0
treatment,treatment,0,100,100
control,marketing,371.77,0,-371.7699890136719
control,control,0,0,0
treatment,treatment,0,0,0
control,marketing,0,0,0
treatment,treatment,100.7,100.7,0
control,control,224.28,0,-224.27999877929688
treatment,treatment,0,0,0
control,control,500,500,0
control,control,500,500,0
control,control,148.45,0,-148.4499969482422
control,control,1016.22,974.38,-41.84000015258789
treatment,treatment,1400.3,1196.49,-203.80999755859375
treatment,treatment,138.22,0,-138.22000122070312
treatment,treatment,500,500,0
control,control,0,0,0
treatment,treatment,0,100,100
control,control,179.25,179.25,0
treatment,treatment,0,0,0
treatment,treatment,1054.52,115055.56,114001.0390625
control,marketing,0,0,0
treatment,treatment,1463.66,102.53,-1361.1300048828125
control,control,500,500,0
control,marketing,0,0,0
treatment,treatment,0,0,0
control,marketing,449.61,149.61,-300
control,control,881.67,581.67,-300
treatment,treatment,1157.84,614.16,-543.67999267578125
control,marketing,1599.35,1299.35,-300
treatment,treatment,0,0,0
treatment,treatment,0,0,0
treatment,treatment,992.02,292.02,-700
treatment,treatment,1276.39,978.43,-297.9599914550781
control,marketing,621.96,500,-121.95999908447266
control,marketing,0,0,0
control,control,500,500,0
control,control,500,500,0
control,control,900.87,600.87,-300
control,control,0,0,0
control,control,0,139,139
control,marketing,0,0,0
treatment,treatment,613.39,500,-113.38999938964844
control,control,542.45,550,7.550000190734863
control,control,112.51,0,-112.51000213623047
control,marketing,105.48,0,-105.4800033569336
control,marketing,0,0,0
treatment,treatment,133.54,133.54,0
control,control,705.21,205.21,-500
treatment,treatment,500,500,0
treatment,treatment,0,500,500
control,marketing,0,103.43,103.43000030517578
control,marketing,623.61,11684.08,11060.4697265625
treatment,treatment,766.47,750.76,-15.710000038146973
control,marketing,738.84,5191.08,4452.240234375
treatment,treatment,147.24,243.31,96.06999969482422
control,control,283.98,3.98,-280
treatment,treatment,0,0,0
control,marketing,420.71,120.71,-300
control,control,1128.79,144.48,-984.30999755859375
control,control,178.98,500,321.0199890136719
control,control,975.46,1341.35,365.8900146484375
control,control,930.05,500,-430.04998779296875
treatment,treatment,32.9,0,-32.900001525878906
control,control,788.42,788.42,0
control,control,125.79,125.79,0
treatment,treatment,687.72,500,-187.72000122070312
treatment,treatment,1627.44,1353.47,-273.9700012207031
control,control,1371.02,540.94,-830.08001708984375
treatment,treatment,500,600,100
control,control,0,0,0
treatment,treatment,0,0,0
control,marketing,0,0,0
control,control,184.42,144.42,-40
control,marketing,642.65,157.61,-485.0400085449219
control,control,1252.54,737.12,-515.41998291015625
control,marketing,500,500,0
treatment,treatment,124.93,24.93,-100
control,control,600.03,300.03,-300
treatment,treatment,1008.33,212.16,-796.16998291015625
treatment,treatment,500,0,-500
treatment,treatment,637.83,500,-137.8300018310547
treatment,treatment,538.6,238.6,-300
treatment,treatment,1265.25,1368.6,103.3499984741211
treatment,treatment,131.72,131.72,0
treatment,treatment,514.96,1508.12,993.15997314453125
treatment,treatment,642.2,548.48,-93.720001220703125
treatment,treatment,0,0,0
treatment,treatment,117.15,0,-117.1500015258789
treatment,treatment,223.51,1795.39,1571.8800048828125
control,control,0,0,0
control,control,1014.63,714.63,-300
treatment,treatment,500,500,0
control,control,0,0,0
control,control,651.16,8612.9,7961.740234375
control,control,137.67,137.67,0
control,marketing,101.02,101.02,0
control,marketing,0,0,0
control,control,150.77,150.77,0
control,marketing,192.67,172.67,-20
control,control,651.08,651.08,0
treatment,treatment,500,600,100
control,control,125.42,0,-125.41999816894531
control,control,1420.55,120.55,-1300
control,control,500,500,0
control,marketing,161.58,0,-161.5800018310547
control,marketing,0,0,0
treatment,treatment,500,612.5,112.5
control,marketing,1495.85,3103.31,1607.4599609375
treatment,treatment,500,500,0
treatment,treatment,0,0,0
treatment,treatment,537.28,237.28,-300
treatment,treatment,230,0,-230
treatment,treatment,728.31,728.31,0
control,control,651.06,511.06,-140
control,control,150.83,0,-150.8300018310547
control,marketing,2238.36,2610.82,372.4599914550781
control,marketing,1080.2,1124.19,43.9900016784668
treatment,treatment,921.87,621.87,-300
treatment,treatment,538.97,283.27,-255.6999969482422
treatment,treatment,0,0,0
treatment,treatment,0,0,0
treatment,treatment,500,500,0
control,control,643.39,584.28,-59.11000061035156
control,marketing,147.9,0,-147.89999389648438
control,control,712.87,652.87,-60
treatment,treatment,0,0,0
treatment,treatment,1672.37,2524.71,852.34002685546875
control,control,729.88,544.74,-185.13999938964844
treatment,treatment,0,0,0
control,control,1031.22,1052.78,21.559999465942383
control,marketing,109.51,709.51,600
control,control,845.69,45.69,-800
treatment,treatment,0,0,0
control,marketing,80.62,0,-80.62000274658203
control,marketing,1547.29,0,-1547.2900390625
control,control,0,0,0
treatment,treatment,213.81,0,-213.80999755859375
treatment,treatment,1032.03,840.6,-191.42999267578125
control,control,948.76,9154.82,8206.0595703125
control,control,28.97,0,-28.969999313354492
treatment,treatment,1021.51,936.99,-84.5199966430664
control,control,611.36,611.36,0
treatment,treatment,120.6,0,-120.5999984741211
treatment,treatment,1022.33,1016.48,-5.849999904632568
control,control,751.56,451.56,-300
treatment,treatment,886.64,686.64,-200
control,marketing,500,500,0
treatment,treatment,0,102.5,102.5
treatment,treatment,164.47,164.47,0
treatment,treatment,761.98,81.98,-680
control,control,626.08,500,-126.08000183105469
treatment,treatment,197.26,0,-197.25999450683594
control,control,532.64,580.44,47.79999923706055
control,control,164.83,0,-164.8300018310547
control,control,0,0,0
treatment,treatment,664.74,500,-164.74000549316406
treatment,treatment,570.43,293.49,-276.94000244140625
treatment,treatment,1514.91,1240.34,-274.57000732421875
